,No,time,Ts,Tm,Tb,ufr_a,ufr_w,Wconv,Qw,Q_se,Q_la,I_w,Q_lwa,Q_lww,h_ML,C_T,H_B1,T_B1,Qbot,H_ice,H_snow,T_ice,T_snow
count,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0
mean,3104.5,3104.5,10.643289632886363,10.643289632886363,6.770383071568417,0.13455492795646193,0.004750865981204253,0.0020541555767566028,-100.79492150973353,-11.707587763790459,-50.45859498954115,101.65300596376811,0.0,-364.4367559792013,2.776409448446082,0.5982109454993604,2.1885792159332365,4.038634133835882,1.200875222182755,0.028724593636718948,0.0,-0.3601787555469474,-0.3601787555469474
std,1792.8169175908622,1792.8169175908622,8.135516519607423,8.135516519607423,4.488874718188084,0.1067006761199356,0.0037738334169409964,0.0020750580414866902,95.24117931893979,23.97169913638459,53.13602520523965,87.87919812945337,0.0,45.21398011421109,1.5958714660030766,0.13055725602265927,0.90069651562902,0.8097948715736761,3.164780819780299,0.10207023816978993,0.0,2.72710380896323,2.72710380896323
min,0.0,0.0,0.0,0.0,0.0,0.0,1.1370451858605603e-05,0.0,-869.4377771635402,-174.9425834240096,-562.7886242579777,0.0,0.0,-508.6547328864814,0.0,0.5,0.05176751727549683,0.734258809957339,-14.694575939973886,0.0,0.0,-72.30827755273907,-72.30827755273907
25%,1552.25,1552.25,2.8570324195969334,2.8570324195969334,2.8588023533472295,0.06244182387069317,0.002181628686824971,0.0,-162.64437039223583,-22.90069681027188,-75.11769599200593,21.635426999999996,0.0,-403.1740340804838,1.5259614994698378,0.5,1.4028371054118283,3.8841185867034795,-0.928041901711014,0.0,0.0,0.0,0.0
50%,3104.5,3104.5,9.961862311941104,9.961862311941104,6.636016932177313,0.11709392579147221,0.004089014616116759,0.0018716975824491291,-92.86784939550729,-8.483248980425877,-35.96480124836323,81.913191,0.0,-360.62059079508253,2.4803931054926673,0.5,2.53375510451675,4.0,1.416096437824651,0.0,0.0,0.0,0.0
75%,4656.75,4656.75,17.967675688399083,17.967675688399083,9.370342987370265,0.18835614783156557,0.00662058649981318,0.0037692315165727755,-19.61051020734979,0.04715694669336977,-10.267064443056578,169.39668675000001,0.0,-325.7691720513674,4.5,0.7727564215365383,3.0,4.008010772680748,2.769997984530361,0.0,0.0,0.0,0.0
max,6209.0,6209.0,35.38270664238752,35.38270664238752,20.580224649849697,1.1036035650140388,0.03935006333487263,0.00988066743378831,220.52523098470778,171.50926989038976,69.96328408124286,340.03125,0.0,-91.33432061524435,4.5,0.8,3.0,8.886737865661189,53.167660947656316,0.7301014170572661,0.0,0.0,0.0
